agency_id,rooms_page,pax_page
22262,346,38
28264,7,4
48840,77,15
65526,71,27
472,576,42
65163,11,4
25325,445,177
60558,46,0
34234,88,4
28685,167,34
52398,88,37
3701,22,9
1927,214,83
10219,64,1
9935,14,0
42677,1441,193
16490,7,1
43146,58,24
5558,13,6
65708,72,11
41785,118,30
13274,47,16
44229,88,12
49113,52,8
48758,212,15
50047,4,0
4200,387,129
41658,593,128
3964,184,67
638,47,17
45423,171,44
4155,33,0
29215,171,54
40179,64,23
41110,616,88
10130,3,2
23734,1,1
63407,82,8
51473,101,33
1280,33,27
65349,3,2
37237,462,146
9228,28,12
48578,7,2
33906,7,0
46671,1,0
65709,1,0
37124,129,50
36882,176,39
60997,19,10
36683,85,6
56941,328,64
2039,105,14
32906,78,18
17781,19,1
23,101,22
61611,12,0
54459,15,9
35261,37,5
46056,84,18
53511,132,12
45231,111,18
58340,270,17
10195,40,27
25307,224,54
54842,93,15
48655,155,9
3868,33,10
62305,15,1
48352,27,1
39711,38,2
51355,12,0
65417,44,5
37831,21,3
20934,3,2
7708,11,4
41271,68,33
5677,1,0
36253,36,8
390,180,5
39994,478,121
49452,17,0
7837,3,0
1351,40,12
28632,249,87
61992,48,6
63061,22,13
35075,139,11
29021,345,32
45552,208,63
35921,208,31
37610,42,21
24725,1,1
395,67,5
54207,99,31
59133,42,16
34088,145,13
52433,105,29
57172,94,39
10189,42,17
1017,80,16
9982,56,11
42904,105,34
35386,3,0
63096,85,3
5389,9,3
33500,96,37
41719,145,45
60673,12,5
38313,5,3
42849,99,37
35352,133,26
27695,136,55
55739,252,24
37325,10,9
61340,68,9
47584,53,10
48847,184,37
45168,378,63
1140,102,72
47926,352,51
21084,4,4
62015,96,30
10972,5,3
4678,6,0
55888,130,13
25584,56,26
37534,12,3
36243,118,35
37390,20,2
9669,100,23
4610,255,43
33444,13,3
55311,13,0
5824,28,18
1224,56,4
57108,15,0
15403,134,20
19327,81,47
62537,48,25
63618,4,0
47795,68,16
23033,61,13
41778,7,1
26352,71,4
55694,11,5
20911,8,1
26515,49,7
3865,20,7
30517,280,63
751,111,30
62742,8,0
14763,5,1
63360,2,2
41805,50,11
48102,28,3
33462,127,49
54743,143,43
42798,210,104
9394,89,22
62021,47,9
13487,1,0
61649,39,8
38596,276,72
60209,3,0
2164,87,22
978,149,30
45955,11,2
28716,114,54
34440,45,23
41212,137,52
3044,212,41
29669,208,63
60140,7,2
47517,464,121
28639,7,0
38510,116,13
27411,44,17
56149,3,1
65876,46,6
18883,9,6
48845,27,4
66783,34,2
37279,76,16
46211,103,20
55552,24,6
25461,111,13
63709,1,0
2425,16,3
7900,31,12
30584,137,29
59585,88,8
58874,11,5
35450,42,7
35525,205,15
6328,11,0
34263,87,15
64256,16,12
55954,38,13
28916,48,1
57193,67,14
58330,73,16
48375,25,15
47637,194,38
71,630,135
40857,50,11
58565,15,6
22744,286,52
64152,1,0
28918,5,4
28959,60,12
63982,117,29
26764,3,0
3651,2,0
36456,39,10
37977,40,7
57718,98,6
37406,337,131
34317,21,6
19158,81,16
39420,17,6
29879,14,0
3323,14,4
191,40,17
41032,128,24
33563,171,29
1982,193,66
2459,23,14
47086,14,5
16842,2,0
42935,288,49
24336,995,86
5223,55,13
32833,61,40
44560,40,2
45154,82,28
16255,12,1
30738,69,11
14342,76,4
10160,14,4
9263,280,54
55799,33,4
23317,191,27
65138,134,22
56537,73,33
12914,6,0
52341,140,5
19279,52,13
42423,26,8
40198,342,43
32444,22,3
54063,201,43
62986,17,2
66883,27,1
40080,48,19
57165,4,1
59937,94,14
18798,59,16
63180,7,1
36235,22,0
39908,221,24
56492,5,3
56518,1,0
58489,121,15
42483,22,0
62045,53,20
40243,13,7
6186,31,1
57378,18,5
20245,3,0
51398,40,11
57353,253,87
921,4,1
47514,88,13
10447,41,16
43346,26,10
33651,12,4
29465,13,0
39769,10,0
34476,255,65
11849,59,21
60213,71,9
39910,74,21
15651,101,33
25823,95,37
60313,18,5
66411,20,5
63479,89,44
25640,69,18
39881,41,5
46740,18,2
57223,10,1
12165,201,98
27071,15,10
36573,1,0
45167,201,99
51538,15,4
441,258,67
45018,93,16
34770,177,38
58830,190,15
63002,182,48
7941,40,20
54487,2,1
49047,182,34
25729,172,24
64495,13,2
35554,28,9
48541,75,4
56173,16,7
37942,5,1
316,1,0
20917,181,53
31139,98,13
33806,14,2
16168,183,45
59420,36,8
14613,220,22
1799,19,5
279,51,19
11749,11,6
37641,37,9
65893,73,33
38384,88,24
3175,3,0
14997,85,5
59396,62,21
14434,49,7
60890,191,6
39507,4,1
49125,34,16
1712,42,16
66788,2,0
2180,373,160
64990,146,27
62391,4,2
1862,161,35
64451,17,7
52307,88,8
56147,61,7
55108,13,7
62351,2,0
40336,22,2
61827,3,0
58845,9,0
65172,23,3
42353,34,6
877,323,100
52655,34,17
43148,165,22
33634,8,0
1783,193,74
59568,16,0
1149,78,10
34625,86,21
2082,5,3
65140,31,4
12801,63,16
23524,72,15
26300,36,11
19212,522,243
61157,20,10
60457,7,0
643,45,3
35988,283,33
25781,32,8
25206,54,17
57858,38,12
57672,9,2
19123,175,93
48464,151,27
67077,9,5
27143,85,21
38288,44,15
11643,58,18
18870,155,23
66164,12,3
54899,4,0
60690,21,10
13514,22,2
53573,1,0
46840,35,2
46851,11,4
24526,193,31
47980,79,59
57825,23,12
26637,44,6
58468,9,1
10300,6,0
36659,241,85
39321,110,18
33676,580,47
45531,16,3
67078,4,2
17698,125,17
63465,11,1
652,1,1
6976,96,19
57929,19,7
30692,66,19
61504,37,12
6446,367,85
24602,21,2
15600,9,3
36394,2,1
65678,83,51
9722,63,24
3932,106,42
15540,20,3
15970,222,100
10383,133,39
574,55,10
63328,21,4
44775,66,33
61987,53,16
28125,422,89
60491,28,11
33190,18,4
10677,17,1
52147,14,7
57952,3,0
65665,9,9
23252,102,15
19600,126,23
65482,3,0
36801,17,3
43152,3,1
42796,13,9
31891,5,2
47292,30,8
54803,8,2
48045,599,93
42327,237,96
44082,75,10
9388,70,41
47140,7,0
65849,2,0
29370,28,3
35566,174,23
57422,6,2
2142,76,35
15110,35,12
39873,23,4
62216,2,0
59641,3,0
38736,69,31
25313,71,11
39263,75,12
30641,80,19
47422,68,20
59440,1,0
52236,50,15
53446,45,13
21203,34,16
8113,68,22
6467,126,25
11068,84,27
19402,135,36
46964,37,11
64245,13,5
17623,30,18
7191,211,46
9673,78,24
16080,254,82
16677,16,1
7349,31,5
60843,16,3
49382,10,2
1136,30,9
36423,162,15
8933,19,6
50095,179,54
12509,457,296
67105,1,0
60964,13,10
43161,437,82
30131,159,29
32817,17,8
46520,133,29
585,15,5
49842,73,29
5839,16,14
20386,799,193
12853,137,21
27874,25,7
57139,244,114
18794,109,21
34622,65,10
10686,92,15
6987,45,29
58649,1,0
16093,321,108
8536,173,54
19508,49,11
47421,34,13
48812,61,24
15233,3,0
45206,41,3
9705,80,24
66544,89,32
55250,12,1
48709,110,14
35583,108,41
27891,17,5
66915,16,7
12971,133,23
8583,265,102
64717,2,1
15729,92,16
62065,39,27
38570,61,24
41806,104,31
67124,1,1
10653,76,44
15074,264,67
13404,41,9
51982,326,30
65456,122,22
24908,11,1
19347,40,15
45406,804,52
62803,47,16
32451,41,11
25038,98,36
42186,297,25
55444,186,41
47294,31,1
63869,23,0
56002,91,20
56038,47,20
2197,17,5
62308,8,1
48079,20,1
50299,27,3
55983,4,0
57255,24,4
43106,18,1
40050,69,29
3863,3,0
60507,24,6
63526,420,120
29873,69,10
64115,3,0
8077,9,0
44272,161,59
8015,17,8
25310,7,0
62667,14,2
19396,92,20
10045,194,62
15237,61,8
36436,67,15
24682,54,29
23965,99,32
38407,99,32
27635,5,0
12353,131,33
46927,160,25
10912,55,22
55875,47,20
58811,193,18
11305,237,47
18906,278,41
2420,18,9
46531,6,1
52977,37,2
25100,10,2
56275,15,5
54734,2,0
49024,40,14
20421,4,1
42880,62,9
33528,19,6
15119,281,139
50127,138,48
46453,84,27
66920,50,40
45528,132,37
27212,46,9
24492,361,51
28765,28,11
11320,77,14
755,31,14
19612,14,9
32778,184,51
55363,15,8
53802,3,0
44249,1,0
18884,30,10
19482,227,87
48588,8,3
21975,76,23
56130,77,12
26449,54,14
33672,72,9
37450,103,21
19161,83,14
18261,129,26
20225,107,46
27304,377,113
14783,26,7
9830,6,2
16220,1,1
2033,183,76
40170,33,4
28912,37,6
62977,25,13
12772,135,44
30056,60,15
13528,33,10
48703,33,10
36260,8,0
57977,50,5
27703,208,116
39899,4,1
57190,2,0
40612,236,99
15316,56,21
56495,6,2
19256,174,82
53224,2,0
17899,55,0
1467,55,25
688,48,29
52291,112,5
45695,131,12
40354,51,15
31228,92,17
21855,422,109
14744,48,7
27398,95,30
66267,3,1
13151,56,32
7720,176,64
36151,164,19
29964,154,75
46606,69,4
29505,30,8
20413,115,63
31301,57,21
14928,106,33
32818,152,41
27980,51,38
45642,92,7
21782,85,31
39960,44,12
53579,2,0
66892,26,12
62836,44,6
62884,1,0
12783,2,2
59530,42,17
51991,55,35
46854,5,3
56534,68,15
39452,66,24
35721,33,15
56650,24,7
20264,543,126
52267,71,24
13130,139,13
65311,370,106
57823,19,3
12198,5,1
14824,168,39
12477,112,19
24685,39,14
65927,43,21
11044,563,41
55069,97,45
9149,69,4
35611,9,2
26399,45,22
20334,40,8
55273,89,29
32760,196,45
11744,45,15
61371,14,0
22165,123,11
15983,27,19
66250,25,11
45685,54,34
16928,80,29
46772,28,20
44340,48,7
49100,37,6
31353,35,15
37676,51,6
57044,6,0
11884,164,78
30559,6,2
21183,266,78
33680,149,7
22686,6,2
6319,147,37
19311,163,51
48184,14,7
40616,13,7
8706,45,13
47508,100,22
53674,43,8
14753,293,136
37389,64,18
66995,4,0
19546,87,26
21467,906,173
12169,9,0
32283,64,27
57916,66,15
40502,77,41
27471,44,8
65174,6,1
47925,11,0
24118,1,0
5876,13,7
56974,35,12
46926,7,0
35223,157,30
29424,46,10
53073,84,29
8303,14,5
53116,19,7
65831,18,2
11595,163,54
10813,39,12
35157,24,6
14480,34,6
44142,219,93
54812,65,24
39398,172,15
49040,48,3
39819,48,11
10689,48,13
44101,109,28
28082,11,5
17173,36,6
62540,59,7
20750,123,39
63834,55,24
31530,62,12
15876,21,6
63110,29,15
60536,2,0
60349,5,0
2568,346,109
28586,30,17
33217,152,44
47155,23,5
60892,83,9
54635,228,62
5881,70,35
5761,50,8
58007,47,10
57424,118,42
19404,17,3
27951,119,73
12521,91,5
8554,60,23
52454,28,7
20344,23,10
56431,29,3
741,167,19
40638,44,10
46603,2,0
19616,9,2
67007,1,0
61257,12,0
25126,388,119
46115,1,0
51346,22,3
67123,28,15
19218,286,19
53666,51,6
58299,137,29
5898,320,72
9723,64,15
33021,4,1
33052,212,53
64171,21,12
20555,98,25
40,25,7
5431,79,40
55267,33,11
23478,44,16
56946,28,7
21688,26,7
34817,103,29
40856,44,7
15431,914,183
9712,57,26
13880,61,7
50036,8,2
15893,30,19
38447,42,15
10184,52,21
65840,28,15
2938,22,4
22046,50,12
24277,99,28
9695,25,8
40313,26,6
55892,68,11
46168,49,9
11497,17,3
65350,6,4
15827,120,28
15313,422,72
45773,6,4
37533,99,53
38320,310,130
3612,63,6
24632,14,6
38662,2,0
39727,35,8
10248,51,14
11699,96,12
58467,100,19
46938,121,11
39985,116,20
11133,62,12
23704,195,35
59724,65,15
36768,24,0
10239,44,8
46848,120,19
27019,18,9
57306,23,0
10477,47,24
58900,31,6
57180,35,2
49447,13,4
41662,9,7
26146,5,0
63864,48,18
34157,22,8
32971,127,25
45204,8,3
7109,18,5
40539,39,5
13759,22,9
13756,79,27
39613,12,6
39926,50,31
30670,36,12
23237,26,12
49103,8,6
34391,1,1
21875,9,4
29423,24,6
30999,7,4
25231,106,2
19480,28,8
28290,98,23
28942,232,61
11717,27,4
32928,242,32
15103,277,83
63310,6,0
21185,67,25
10221,60,23
15191,137,43
56519,9,2
10906,30,5
42467,85,23
60942,13,1
62750,1,0
19066,46,12
56971,90,14
53013,17,2
40541,5,2
54864,21,11
55740,40,27
54715,104,15
21058,82,40
36069,23,4
5965,149,26
66615,12,5
65074,2,1
2562,4,4
36397,25,10
63204,105,19
4696,24,3
49017,7,3
12206,1,0
2018,56,15
63512,1,1
17638,234,43
49254,120,39
8380,67,17
65345,40,7
52508,1,1
41321,35,13
12216,98,9
56905,8,7
31715,19,1
58538,3,1
2595,9,7
18276,39,10
30644,125,22
59490,38,6
2139,6,3
5463,103,25
19109,13,4
21373,36,6
50339,28,9
28584,33,13
21013,41,14
23706,20,1
9198,2,0
47286,72,16
11417,114,23
60465,23,9
7906,68,34
9730,18,8
91,294,85
60878,22,2
8277,3,2
48092,89,11
35971,69,27
61806,74,12
30552,102,19
27866,26,0
16344,28,4
1100,26,4
40880,51,25
42811,96,34
45684,116,49
38768,66,31
59271,10,0
28512,116,45
10719,145,36
12895,29,7
14650,104,15
62217,30,6
40384,161,38
37955,36,3
63291,46,13
15236,8,2
18845,31,7
10559,123,28
2195,23,12
62155,42,15
28906,17,2
13949,104,33
40945,188,77
65544,8,3
28445,82,31
35218,150,33
36743,30,9
15546,11,11
47519,16,2
21672,14,4
35998,85,13
9044,3,1
22687,33,11
34647,10,7
47364,156,148
54543,20,9
47083,2,0
16660,24,5
65666,24,11
16073,202,22
13843,9,1
55297,38,4
66849,38,6
63169,130,21
55841,12,2
25004,210,67
42529,80,45
2466,64,39
42558,162,103
41569,98,18
44277,27,3
57993,2,0
56022,82,22
16760,119,19
57705,4,0
61943,45,17
13228,155,20
17046,153,42
7393,21,3
44691,127,68
40338,25,10
55005,3,0
19968,42,9
47159,1,0
55248,63,21
6203,17,6
22561,63,25
43185,16,5
27827,103,31
66398,2,1
12779,19,1
10362,1,1
23390,1,0
12618,124,24
23595,109,16
42413,19,0
21470,4,3
7851,65,22
26397,23,2
21304,17,7
26246,25,9
27289,4,2
36575,19,11
10232,12,3
48340,25,1
10036,50,8
13762,31,7
31716,3,1
54663,45,15
44891,77,26
6349,14,8
17591,17,14
44662,23,2
4935,380,77
54032,19,9
59232,56,31
11405,85,35
37510,24,5
61247,17,2
24469,8,0
48804,40,11
10735,5,0
54045,18,3
31460,70,32
5320,14,1
31388,34,7
41829,19,2
30385,193,27
44321,26,4
26779,180,71
65455,32,9
26350,130,41
41646,11,3
20836,124,36
5298,6,1
41794,55,14
48964,4,2
25596,19,1
19889,9,5
19348,143,44
31338,117,31
12480,12,1
40750,36,9
46003,40,10
55023,17,2
48388,9,0
58630,26,5
24802,21,0
7769,169,76
33172,1,0
62914,7,1
60106,12,5
10545,57,25
49036,32,6
53766,152,51
46528,27,2
36291,18,2
26251,68,1
24006,43,9
23089,67,18
59775,13,1
44068,21,4
57511,4,0
19715,162,35
50337,23,14
24050,99,52
59834,60,21
44318,64,8
29998,58,12
34717,2,1
6213,89,7
26090,148,21
27754,37,4
48893,43,14
34946,90,13
34444,10,5
26168,22,5
49970,51,13
50297,13,3
38678,3,0
42950,8,5
11718,158,50
66818,7,1
26684,11,3
9758,16,9
57465,32,1
19128,111,60
2536,2,1
55164,116,4
10617,97,13
60983,11,7
10371,35,6
