agency_id,num_searches,num_bookings,l2b
29,62320.0,6348.0,10.186136071887034
36,8507.0,1234.0,14.505701187257552
62,41070.0,5410.0,13.172632091551009
101,18885.0,2861.0,15.14958962139264
111,25531.0,1658.0,6.494066037366339
41,6239.0,370.0,5.930437570123417
127,24965.0,1346.0,5.391548167434408
143,45495.0,2462.0,5.411583690515441
147,13908.0,1049.0,7.542421627840092
180,15950.0,213.0,1.335423197492163
163,91193.0,11230.0,12.314541686313643
272,62063.0,3246.0,5.230169344053623
331,10444.0,399.0,3.820375335120643
100,150851.0,10784.0,7.1487759444750125
204,128924.0,9158.0,7.103409760789302
234,19996.0,2424.0,12.12242448489698
672,2619.0,371.0,14.165712103856434
404,41950.0,3735.0,8.903456495828367
442,27399.0,2215.0,8.084236650972663
455,68303.0,9231.0,13.514779731490565
472,74059.0,522.0,0.7048434356391525
39,24036.0,2114.0,8.795140622399733
630,23587.0,1137.0,4.8204519438673845
664,5772.0,402.0,6.964656964656965
585,41610.0,4848.0,11.651045421773611
683,6129.0,702.0,11.45374449339207
737,3083.0,369.0,11.968861498540383
461,11349.0,1197.0,10.547184773988898
531,10391.0,1134.0,10.913290347416032
792,186.0,0.0,0.0
598,3166.0,402.0,12.69740998104864
796,14462.0,3639.0,25.162494813995295
639,37267.0,1660.0,4.4543429844097995
655,9401.0,790.0,8.403361344537815
1033,22773.0,2371.0,10.411452158257587
862,1888.0,309.0,16.366525423728813
278,9826.0,587.0,5.973946672094444
882,4477.0,462.0,10.319410319410318
883,39088.0,1728.0,4.420794105607859
898,7928.0,306.0,3.8597376387487383
900,6968.0,975.0,13.992537313432834
441,93622.0,5977.0,6.384183204802291
923,31.0,0.0,0.0
210,99966.0,8747.0,8.749974991497108
938,20489.0,1035.0,5.051491043974816
945,8923.0,1165.0,13.05614703575031
978,238480.0,25224.0,10.5769875880577
91,40362.0,6076.0,15.053763440860216
1028,490.0,0.0,0.0
1071,56220.0,4821.0,8.575240128068302
626,130548.0,15278.0,11.70297515090235
1100,8121.0,582.0,7.166605097894347
1125,4227.0,550.0,13.011592145729834
1167,11352.0,2631.0,23.176532769556026
1221,1972.0,60.0,3.0425963488843815
395,8990.0,0.0,0.0
1263,61515.0,7930.0,12.89116475656344
1110,10399.0,275.0,2.6444850466390997
1300,100243.0,2133.0,2.127829374619674
370,47093.0,5988.0,12.715265538402734
1379,9537.0,495.0,5.190311418685121
741,165024.0,7603.0,4.607208648439015
1417,5491.0,803.0,14.62393006738299
268,27602.0,4125.0,14.94456923411347
2028,11659.0,338.0,2.8990479457929497
1453,11918.0,1352.0,11.344185265984226
1260,31333.0,2480.0,7.914977818912967
1544,6319.0,892.0,14.116157619876562
710,5952.0,1072.0,18.010752688172044
927,9686.0,645.0,6.659095601899649
1048,78651.0,8063.0,10.251617906956048
189,60232.0,6480.0,10.758400850046486
2106,5655.0,616.0,10.893015030946065
