agency_id,agency_name,region,created_on,first_overall_sale,first_q_sale,last_q_sale,freq,mon,rec,rec_week,days_active,weeks_active,rel_freq,new_agency,rec_log,rel_freq_log,mon_log,rec_score,freq_score,mon_score,RFM
26526,SAQR ALJAZEERA TOURS AND TRAVELS,Middle East,2019-03-20,2019-07-10,2023-01-01,2023-02-08,5,4795.79,8,2,39,6,0.8333333333333334,0,0.6931471805599453,-0.1823215567939546,8.475493728700007,2,1,2,5
47365,DK VIAGENS,Latin America,2021-09-01,2021-09-01,2023-01-01,2023-02-14,13,7324.42,2,1,45,7,1.8571428571428572,0,0.0,0.6190392084062235,8.898969249862924,3,2,3,8
60291,GATWICK HAJ AND UMRAH LTD.T/A GATWICK TRAVELS,UK,2022-06-22,2022-06-22,2023-01-01,2023-02-02,9,9225.45,14,3,33,5,1.8,0,1.0986122886681098,0.5877866649021191,9.129721248206804,2,2,3,7
39459,JUVENTOURS,Southern Europe,2020-09-06,2021-04-08,2023-01-01,2023-02-09,4,2456.76,7,2,40,6,0.6666666666666666,0,0.6931471805599453,-0.40546510810816444,7.806598687652488,2,1,2,5
481,OITC TRAVEL & TOURISM(DOH),Middle East,2011-10-26,2012-04-25,2023-01-01,2023-02-12,16,12207.28,4,1,43,7,2.2857142857142856,0,0.0,0.8266785731844679,9.409787774065457,3,3,3,9
4935,PERFECT LOOK FOR TOURISM,Middle East,2015-04-11,2015-04-11,2023-01-01,2023-02-09,76,43722.28,7,2,40,6,12.666666666666666,0,0.6931471805599453,2.538973871058276,10.685613090976455,2,3,3,8
5190,ALAOUS INTERNATIONAL  TRAVEL & TOURISM(MED),Middle East,2015-05-24,2015-06-07,2023-01-01,2023-02-06,11,6601.27,10,2,37,6,1.8333333333333333,0,0.6931471805599453,0.6061358035703155,8.795017333745772,2,2,3,7
2528,EIRAD INTERNATIONAL TRAVEL & TOURISM,Middle East,2013-12-28,2019-09-02,2023-01-01,2023-02-13,53,25793.53,3,1,44,7,7.571428571428571,0,0.0,2.0243817644968085,10.157878964266553,3,3,3,9
43202,TIAR FOR TRAVEL & TOURISM,Middle East,2021-04-23,2021-06-23,2023-01-01,2023-02-13,12,5962.4,3,1,44,7,1.7142857142857142,0,0.0,0.5389965007326869,8.693228363567483,3,2,3,8
24338,MUSAFIR ONLINE TRAVEL & TOURISM WLL,Middle East,2018-12-26,2019-02-14,2023-01-01,2023-02-13,30,41371.76,3,1,44,7,4.285714285714286,0,0.0,1.455287232606842,10.630353801456021,3,3,3,9
66609,AL MANAL TRAVEL & TOURISM LLC.,Middle East,2022-11-19,2022-11-20,2023-01-01,2023-01-01,1,730.09,46,7,1,1,1.0,0,1.9459101490553132,0.0,6.593167814214369,1,1,1,3
33462,CARDINAL TOURS LTD,Southern Europe,2019-09-24,2019-12-17,2023-01-01,2023-02-14,51,37013.66,2,1,45,7,7.285714285714286,0,0.0,1.9859154836690125,10.519042312681991,3,3,3,9
19627,BRASILIA GO TRIP,Latin America,2018-07-10,2018-09-12,2023-01-01,2023-02-01,5,3198.28,15,3,32,5,1.0,0,1.0986122886681098,0.0,8.07036844428291,2,1,2,5
10178,SOLUTION TRAVEL AND TOURISM,Middle East,2017-01-20,2017-02-07,2023-01-01,2023-02-14,24,10266.07,2,1,45,7,3.4285714285714284,0,0.0,1.2321436812926323,9.236599561721588,3,3,3,9
2701,EASY TRAVEL & TOURISM (EASYTRAVEL.SA),Middle East,2014-01-28,2014-02-13,2023-01-01,2023-02-06,37,44979.41,10,2,37,6,6.166666666666667,0,0.6931471805599453,1.8191584434161694,10.713960108486416,2,3,3,8
42884,GOLAN TOURS - HEIB GOLAN,Southern Europe,2021-04-05,2021-10-28,2023-01-01,2023-02-02,5,3777.07,14,3,33,5,1.0,0,1.0986122886681098,0.0,8.236703855768148,2,1,2,5
53670,EMBER TRAVEL ,Middle East,2022-01-17,2022-02-11,2023-01-01,2023-01-01,1,1353.67,46,7,1,1,1.0,0,1.9459101490553132,0.0,7.210574701462829,1,1,2,4
28988,AL SALHIAH WORLD TRAVEL AND TOURISM CO.,Middle East,2019-05-21,2019-07-15,2023-01-01,2023-02-12,49,54095.11,4,1,43,7,7.0,0,0.0,1.9459101490553132,10.898499072579261,3,3,3,9
30517,SAFE WAY TRAVEL LTD. ,Southern Europe,2019-07-04,2019-07-06,2023-01-01,2023-02-14,60,57044.55,2,1,45,7,8.571428571428571,0,0.0,2.1484344131667874,10.951587820490284,3,3,3,9
1281,OPAL TRAVEL & TOUR(MCT),Middle East,2012-10-10,2013-05-07,2023-01-01,2023-02-12,6,2719.93,4,1,43,7,0.8571428571428571,0,0.0,-0.15415067982725836,7.908361423664767,3,1,2,6
49861,AWAD ALSHAMOUKH TRAVEL,Middle East,2021-10-28,2021-11-12,2023-01-01,2023-02-06,9,9988.41,10,2,37,6,1.5,0,0.6931471805599453,0.4054651081081644,9.209180699816278,2,2,3,7
782,AL SAIGH TRAVEL AGENCY,Middle East,2012-01-21,2016-02-07,2023-01-01,2023-01-19,7,5734.16,28,5,19,3,2.3333333333333335,0,1.6094379124341003,0.8472978603872037,8.654196549786137,1,3,3,7
47795,MIRO TOURS,Southern Europe,2021-09-13,2021-09-18,2023-01-01,2023-02-13,7,5018.05,3,1,44,7,1.0,0,0.0,0.0,8.520796691005861,3,1,2,6
33342,PLANETS TRAVEL & TOURISM,Middle East,2019-09-21,2019-10-31,2023-01-01,2023-02-09,14,5151.62,7,2,40,6,2.3333333333333335,0,0.6931471805599453,0.8472978603872037,8.547066507299977,2,3,2,7
63064,AL FARIS ALMUTAMIEZ TRAVEL & TOURISM (TAIF),Middle East,2022-08-29,2022-09-06,2023-01-01,2023-01-18,2,317.09,29,5,18,3,0.6666666666666666,0,1.6094379124341003,-0.40546510810816444,5.759185645253913,1,1,1,3
